epoch,tj_easy_ac_att_JAMMAS_1 - episode_return__MAX,tj_easy_ac_att_JAMMAS_2 - episode_return__MAX,tj_easy_ac_att_JAMMAS_3 - episode_return__MAX,tj_easy_ac_att_JAMMAS_4 - episode_return__MAX,,,,,,,,,,,,,,,,,,
326,-20,-20,-20,-16.8,,,,,,,,,,,,,,,,,,
327,-20.8,-20.8,-20.8,-24,,,,,,,,,,,,,,,,,,
328,-27.2,-27.2,-27.2,-23.2,,,,,,,,,,,,,,,,,,
329,-20,-20,-20,-20.8,,,,,,,,,,,,,,,,,,
330,-17.6,-17.6,-17.6,-17.6,,,,,,,,,,,,,,,,,,
331,-20.8,-20.8,-20.8,-22.4,,,,,,,,,,,,,,,,,,
332,-28.4,-25.6,-25.6,-24,,,,,,,,,,,,,,,,,,
333,-17.6,-17.6,-17.6,-17.6,,,,,,,,,,,,,,,,,,
334,-18.4,-18.4,-18.4,-17.6,,,,,,,,,,,,,,,,,,
335,-16,-16,-16,-18.4,,,,,,,,,,,,,,,,,,
336,-17.6,-17.6,-17.6,-14.4,,,,,,,,,,,,,,,,,,
